======================================================
 Job:     graph_transformer_trainer  (18894734)
 Node:    nid005143
 Started: Thu May 28 01:04:53 PM EEST 2026
======================================================
[modules] Loaded:

Currently Loaded Modules:
  1) LUMI/25.03                                      (S)
  2) craype-x86-trento
  3) craype-accel-amd-gfx90a
  4) libfabric/1.22.0
  5) craype-network-ofi
  6) xpmem/2.11.5-1.3_g73ade43320bc
  7) partition/G                                     (S)
  8) cray-python/3.11.7
  9) lumi-container-wrapper/0.4.2-cray-python-3.11.7

  Where:
   S:  Module is Sticky, requires --force to unload or purge

[check] Environment:
torch:          2.9.1+rocm6.4
GPUs visible:   1
  GPU 0: AMD Instinct MI250X  VRAM=68.7GB
OK — single GPU run

[run] Thu May 28 01:05:35 PM EEST 2026
------------------------------------------------------
Device: cuda
  GPU: AMD Instinct MI250X

ZealotTransformer Training (Fast Mode - No Validation)
  epochs=300  batch=64  lr=0.001
  Final model only - no checkpoint saving during training

Building ZealotTransformer dataset...
  100/1600 tasks (15s elapsed, ETA: 230s) 100 valid
  200/1600 tasks (23s elapsed, ETA: 163s) 200 valid
  300/1600 tasks (35s elapsed, ETA: 152s) 300 valid
  400/1600 tasks (45s elapsed, ETA: 134s) 400 valid
  500/1600 tasks (53s elapsed, ETA: 116s) 500 valid
  600/1600 tasks (63s elapsed, ETA: 105s) 600 valid
  700/1600 tasks (73s elapsed, ETA: 94s) 700 valid
  800/1600 tasks (83s elapsed, ETA: 83s) 800 valid
  900/1600 tasks (91s elapsed, ETA: 71s) 900 valid
  1000/1600 tasks (100s elapsed, ETA: 60s) 1000 valid
  1100/1600 tasks (110s elapsed, ETA: 50s) 1100 valid
  1200/1600 tasks (120s elapsed, ETA: 40s) 1200 valid
  1300/1600 tasks (128s elapsed, ETA: 30s) 1300 valid
  1400/1600 tasks (137s elapsed, ETA: 20s) 1400 valid
  1500/1600 tasks (146s elapsed, ETA: 10s) 1500 valid
  1600/1600 tasks (157s elapsed, ETA: 0s) 1600 valid

Dataset ready: 1600 samples in 156.6s
Total samples: 1600
Model params: 2,060,801

     Ep        Loss          LR     Time
  ---------------------------------------------
      1      0.2846    6.67e-05    12.6s
      2      0.2699    1.33e-04     3.4s
      3      0.2028    2.00e-04     3.4s
      4      0.1475    2.67e-04     3.4s
      5      0.0851    3.33e-04     3.4s
      6      0.0553    4.00e-04     3.4s
      7      0.0358    4.67e-04     3.3s
      8      0.0423    5.33e-04     3.4s
      9      0.0391    6.00e-04     3.4s
     10      0.0293    6.67e-04     3.4s
     11      0.0246    7.33e-04     3.4s
     12      0.0254    8.00e-04     3.4s
     13      0.0490    8.67e-04     3.4s
     14      0.0283    9.33e-04     3.4s
     15      0.0237    1.00e-03     3.4s
     16      0.0230    1.00e-03     3.4s
     17      0.0261    1.00e-03     3.4s
     18      0.0217    1.00e-03     3.4s
     19      0.0260    1.00e-03     3.4s
     20      0.0224    9.99e-04     3.4s
     21      0.0227    9.99e-04     3.4s
     22      0.0210    9.99e-04     3.4s
     23      0.0220    9.98e-04     3.4s
     24      0.0204    9.98e-04     3.4s
     25      0.0214    9.97e-04     3.4s
     26      0.0202    9.96e-04     3.4s
     27      0.0195    9.96e-04     3.4s
     28      0.0228    9.95e-04     3.4s
     29      0.0221    9.94e-04     3.4s
     30      0.0181    9.93e-04     3.4s
     31      0.0180    9.92e-04     3.4s
     32      0.0193    9.91e-04     3.4s
     33      0.0179    9.90e-04     3.4s
     34      0.0205    9.89e-04     3.4s
     35      0.0186    9.88e-04     3.4s
     36      0.0193    9.87e-04     3.4s
     37      0.0220    9.85e-04     3.4s
     38      0.0207    9.84e-04     3.4s
     39      0.0188    9.83e-04     3.4s
     40      0.0192    9.81e-04     3.4s
     41      0.0201    9.80e-04     3.4s
     42      0.0186    9.78e-04     3.4s
     43      0.0200    9.76e-04     3.4s
     44      0.0197    9.75e-04     3.4s
     45      0.0182    9.73e-04     3.4s
     46      0.0183    9.71e-04     3.4s
     47      0.0197    9.69e-04     3.4s
     48      0.0191    9.67e-04     3.4s
     49      0.0202    9.65e-04     3.4s
     50      0.0189    9.63e-04     3.4s
     51      0.0178    9.61e-04     3.4s
     52      0.0180    9.59e-04     3.4s
